,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,open,beta,regularMarketDayLow,trailingPE,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,fiftyTwoWeekLow,bid,dayHigh,enterpriseToRevenue,profitMargins,enterpriseToEbitda,52WeekChange,forwardEps,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,shortRatio,earningsQuarterlyGrowth,pegRatio,shortPercentOfFloat,regularMarketPrice,forwardPE,trailingAnnualDividendYield,payoutRatio,trailingAnnualDividendRate,dividendRate,fiveYearAvgDividendYield,dividendYield,Market Cap,Change,Insider Own,Shs Outstand,Perf Week,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,Short Float,Perf Quarter,Sales,EPS this Y,Inst Trans,Perf Half Y,ROA,Perf Year,EPS next 5Y,ROE,Perf YTD,EPS past 5Y,ROI,52W High,Sales past 5Y,Gross Margin,52W Low,Sales Q/Q,Oper. Margin,EPS Q/Q,Profit Margin,Payout,SMA20,SMA50,SMA200,Inst Own,Dividend %,Avg Volume
CCXI,48.07,49.02,52.01,53.69,48.07,52.483234,49.02,1.722408,48.54,,47.624172,48.54,52.71,65.43,6.44,52.68,53.69,37.596,-0.39183998,-92.435,5.300131,-1.35,6.121,0.0766,0.67078,-0.496,0.11441445,8.591734,0.28927,11.38,,,0.1137,49.02,-38.955555,,,,,,,3570000000.0,0.094,0.042,63280000000.0,0.106,-0.8490000000000001,-0.4113,52440000000.0,-0.0118,-29800000000.0,0.10060000000000001,-0.1582,76100000000.0,-0.28,0.2163,0.5274,-0.10300000000000001,5.938,,-0.196,0.3297,0.021,-0.68,-0.1962,,,7.1661,5.861000000000001,-0.415,2.119,-0.392,,0.0233,-0.0254,0.0944,0.773,,
CDLX,66.24,67.6,62.015507,73.9,66.24,74.19971,67.6,2.309989,67.21,,10.0419655,67.21,73.36,107.5,27.326,73.13,73.9,8.639,-0.18857001,-57.987,0.953406,-0.13,5.084,0.1508,0.84584,-1.453,0.11441445,14.43745,0.09076,6.8,,-2.03,0.17819999,67.6,-564.6154,,,,,,,2100000000.0,0.1081,0.028999999999999998,27070000000.0,0.0472,0.8690000000000001,1.1732,25010000000.0,-0.0843,-37600000000.0,0.16449999999999998,0.0504,199400000000.0,0.741,0.10210000000000001,0.6804000000000001,-0.18600000000000003,1.0723,0.34600000000000003,-0.27899999999999997,0.1677,,-0.121,-0.3172,,0.426,1.6861000000000002,-0.42100000000000004,-0.18600000000000003,-1.548,-0.18899999999999997,,-0.048600000000000004,-0.0074,0.1091,0.9279999999999999,,
CNST,21.86,22.35,31.166014,24.42,21.86,23.514118,22.35,2.887096,22.05,,,22.05,23.67,59.49,6.01,23.68,24.42,,,-5.576,1.7462313,-3.22,9.936,0.0759,0.9953,-2.767,0.11441445,2.3862722,0.021459999,6.8,,,0.111,22.35,-7.3633537,,,,,,,1120000000.0,0.08460000000000001,0.129,42590000000.0,0.11470000000000001,-0.171,-0.005699999999999999,28010000000.0,0.0004,-100600000000.0,0.1286,-0.3714,,0.11699999999999999,0.2444,-0.0046,-0.285,1.9861000000000002,,-0.34299999999999997,-0.49670000000000003,,,-0.6014,,,2.9451,,,0.132,,,0.0793,-0.0604,-0.2979,0.9953,,
DCPH,44.87,46.65,50.09406,50.1,44.87,46.074707,46.65,1.827329,46.65,,394.60608,46.65,50.15,71.11,31.37,49.88,50.1,270.693,,-7.134,0.2289784,-4.8,11.05,0.0708,0.67095,-5.148,0.11441445,4.530317,0.30216,12.96,,-0.4,0.100600004,46.65,-10.429167,,,,,,,2780000000.0,0.1157,0.005,55920000000.0,0.098,0.077,-0.5432,39760000000.0,0.059500000000000004,-263500000000.0,0.1003,-0.1463,7200000000.0,-0.589,0.0433,0.4886,-0.392,0.35850000000000004,0.21,-0.431,-0.1957,,-0.36700000000000005,-0.29600000000000004,,0.9990000000000001,0.5958,-0.716,,-1.14,,,0.11349999999999999,0.038,-0.0644,0.7709999999999999,,
DNLI,31.99,33.46,24.378515,36.1162,31.99,29.907646,33.46,1.903922,31.75,,137.87308,31.75,36.1,36.1162,12.39,34.79,36.1162,105.015,,-13.178,0.6213888,-2.23,4.742,0.0846,0.78657997,-2.158,0.11441445,7.606495,0.08049,9.25,,,0.1495,33.46,-16.174887,,,,,,,3830000000.0,0.1275,0.026000000000000002,105720000000.0,0.16879999999999998,-0.081,-0.6077,97280000000.0,0.20879999999999999,-215800000000.0,0.09210000000000002,0.4057,27700000000.0,-4.283,0.0369,1.5400999999999998,-0.345,0.9166,,-0.45899999999999996,1.0706,,-0.539,0.0104,,,1.9112,0.381,,0.09,,,0.1305,0.26280000000000003,0.5448,0.898,,
DPHC,24.68,27.2,11.182782,,24.68,14.645441,27.2,,25.04,528.3019,,25.04,28.13,,9.5,28.01,,,,,1.4929295,,0.143,0.045100003,0.62176,0.053,0.11441445,195.80418,0.03571,0.37,,,0.0665,27.2,,,,,,,,837760000000.0,0.13449999999999998,0.035699999999999996,35000000000.0,0.5909,,0.0,27000000000.0,1.1655,1800000000.0,0.058499999999999996,1.7668000000000001,,,0.0337,1.7888,0.006,,,0.006999999999999999,1.8141,,,0.1067,,,1.9474,,,-1.348,,0.0,0.6811,1.1063,1.5652000000000001,0.7,,2150000000.0
EBS,98.08,99.72,84.20022,104.28,98.08,117.33676,99.72,1.428093,99.72,32.64494,4.3779774,99.72,104.25,137.61,46.37,104.05,104.28,4.568,0.13523,14.079,0.8456907,7.58,22.662,0.047399998,0.88958,3.191,0.11441445,4.5966816,0.15599,2.92,,1.58,0.066199996,99.72,13.7427435,,,,,,,5560000000.0,0.0621,0.032,52600000000.0,-0.0058,0.11259999999999999,-0.20679999999999998,45010000000.0,-0.228,170300000000.0,0.0558,0.4657,1260000000.0,-0.085,-0.0147,0.8161,0.07200000000000001,1.0033,0.092,0.155,0.9309000000000001,-0.026000000000000002,0.048,-0.243,0.223,0.645,1.2465000000000002,0.623,0.209,,0.135,0.0,-0.1134,-0.051399999999999994,0.37670000000000003,0.872,,
ENPH,65.1,67.17,52.719494,69.78,65.1,70.077354,67.17,1.040691,66.31,55.905064,13.792836,66.31,,80.47,17.18,69.5,69.78,11.045,0.23491,53.986,1.7987962,1.67,2.938,0.0926,0.57295,1.243,0.11441445,23.652143,0.19753,3.43,,1.54,0.1097,67.17,41.61078,,,,,,,8890000000.0,0.0674,0.018000000000000002,125600000000.0,0.0504,0.3814,-0.8654999999999999,114970000000.0,-0.07200000000000001,169400000000.0,0.1015,0.3774,721200000000.0,0.27399999999999997,0.2082,1.5315,0.20800000000000002,2.1471999999999998,0.3538,0.61,1.6594,0.535,0.46,-0.1364,0.127,0.377,3.0448000000000004,-0.064,0.185,-5.636,0.235,0.0,-0.0415,0.0562,0.49770000000000003,0.727,,5290000000.0
EXEL,21.73,22.45,22.013622,24.765,21.73,22.260881,22.45,1.395763,22.4201,27.817772,7.6536636,22.4201,24.74,27.8,13.67,24.19,24.765,5.559,0.28208,16.707,0.1259067,0.8,5.935,0.033299997,0.78894997,0.889,0.11441445,4.166807,0.030199999,5.98,-0.155,1.03,0.0376,22.45,30.912498,,,,,,,7350000000.0,0.1381,0.013000000000000001,307810000000.0,0.19640000000000002,0.7968000000000001,-0.2268,298910000000.0,0.1226,281600000000.0,0.0344,0.08460000000000001,998400000000.0,-0.5379999999999999,0.0218,0.7101999999999999,0.147,0.2853,0.46,0.16399999999999998,0.4035,0.225,0.17300000000000001,-0.1104,1.0759999999999998,0.963,0.8090999999999999,0.08,0.322,-0.163,0.282,0.0,0.1387,0.0795,0.1813,0.841,,2049999999.9999998
FATE,33.56,34.26,30.529276,37.54,33.56,33.80853,34.26,1.683946,34.26,,246.11607,34.26,37.43,38.52,12.59,36.91,37.54,186.369,,-21.092,0.8551687,-1.72,5.462,0.1461,0.94682,-1.565,0.11441445,6.854632,0.02066,21.05,,,0.2039,34.26,-21.76744,,,,,,,3070000000.0,0.11560000000000001,0.001,79310000000.0,0.20350000000000001,-0.139,,73130000000.0,0.0694,-116500000000.0,0.17350000000000002,0.17329999999999998,13200000000.0,-0.215,0.166,1.1667,-0.28800000000000003,1.0881,,-0.386,0.9131,-0.026000000000000002,-0.41100000000000003,-0.027999999999999997,,,1.9738,0.9640000000000001,,0.017,,,0.09210000000000002,0.09720000000000001,0.3326,0.9468000000000001,,
