,Insider Own,Shs Outstand,Perf Week,Market Cap,Insider Trans,Shs Float,Perf Month,Income,Inst Own,Short Float,Perf Quarter,Sales,EPS this Y,Inst Trans,Perf Half Y,ROA,Perf Year,ROE,Perf YTD,EPS past 5Y,ROI,52W High,Gross Margin,52W Low,Sales Q/Q,Oper. Margin,EPS Q/Q,Profit Margin,Payout,SMA20,SMA50,SMA200,Change,EPS next Y,EPS next 5Y,Avg Volume,Sales past 5Y,Dividend %
VHI,0.001,28500000000.0,0.0311,428180000000.0,0.1709,2390000000.0,0.3245,39100000000.0,0.02,0.0105,0.5152,1760000000.0,-0.828,-0.2182,0.26,0.013999999999999999,-0.41,-1.349,-0.3342,-0.018000000000000002,0.133,-0.43670000000000003,0.223,0.6563,-0.215,0.061,-2.282,0.022000000000000002,0.583,0.10869999999999999,0.2661,0.056299999999999996,-0.0066,4.3582,0.255,,0.004,0.021400000000000002
CDOR,0.022000000000000002,11960000000.0,-0.023399999999999997,52170000000.0,0.0,5440000000.0,-0.067,-13600000000.0,0.56,0.0038,-0.0070999999999999995,47000000000.0,-2.2030000000000003,-0.0489,-0.17059999999999997,-0.052000000000000005,-0.6221,-0.163,-0.6214,0.583,0.027000000000000003,-0.6268,0.27399999999999997,0.5143,-0.7040000000000001,-0.045,-3.425,-0.289,,-0.045599999999999995,-0.004,-0.34840000000000004,0.017,0.637,0.15,,0.008,0.1866
PLM,0.22,100640000000.0,0.10830000000000001,379590000000.0,0.0,28470000000.0,-0.1175,-64599999999.99999,0.07400000000000001,0.0072,-0.1057,,-0.836,-0.10830000000000001,0.8523999999999999,-0.13699999999999998,0.1188,-0.165,0.5282,-0.267,,-0.599,,1.5933000000000002,,,-1.278,,,0.115,-0.0675,0.2225,0.051399999999999994,0.0,0.2,2700000000.0,,
TEVA,0.006,1100000000.0,0.0785,10560000000.0,-0.0013,1080000000.0,-0.06509999999999999,4000000000.0,0.532,0.0212,-0.2518,16480000000.0,0.594,0.055,0.304,0.0,0.259,0.0,-0.0327,-0.177,-0.004,-0.311,0.46399999999999997,0.5168,-0.073,0.026000000000000002,1.202,0.0,0.0,0.0148,-0.1225,-0.1151,0.020499999999999997,0.049,0.032,8920000000.0,-0.036000000000000004,
CLMT,0.017,78660000000.0,0.1925,221440000000.0,0.019299999999999998,61790000000.0,0.168,-52900000000.0,0.153,0.0066,0.051699999999999996,2850000000.0,0.147,-0.0048,1.4153,-0.027000000000000003,-0.3372,-3.9189999999999996,-0.2192,0.212,0.064,-0.3936,0.124,2.4756,-0.494,0.013999999999999999,1.2109999999999999,-0.019,,0.1425,0.1085,0.0278,-0.024,-0.385,0.1,,-0.098,
NWG,0.6859999999999999,6040000000.0,-0.042300000000000004,15680000000.0,0.0,2290000000.0,-0.1672,499300000000.0,0.005,0.0004,-0.17550000000000002,14100000000.0,0.925,-0.1059,0.022000000000000002,0.0,-0.5027,0.009000000000000001,-0.5969,1.604,0.046,-0.6318,,0.0383,-0.107,0.424,-1.7469999999999999,0.035,0.0,-0.1096,-0.14679999999999999,-0.3403,-0.038599999999999995,,,1200000000.0,-0.027999999999999997,0.1361
CAPR,0.002,19720000000.0,0.1681,107810000000.0,0.0,19220000000.0,-0.1003,-8600000000.0,0.047,0.1001,0.1255,600000000.0,0.601,0.8855,4.0089999999999995,-0.491,0.9509000000000001,-0.669,3.3438,0.17300000000000001,-0.758,-0.5487,,5.318200000000001,-0.878,,0.611,,,0.0552,-0.08199999999999999,0.5602,-0.055999999999999994,0.363,,2650000000.0,-0.268,
CRT,0.01,6000000000.0,-0.0131,36600000000.0,0.0,6000000000.0,-0.0118,5400000000.0,0.11699999999999999,0.0023,-0.1642,6000000000.0,-0.386,0.0616,0.1631,0.5720000000000001,-0.3392,0.672,-0.3059,-0.19899999999999998,0.6409999999999999,-0.36810000000000004,,0.5112,-0.316,0.9,-0.355,0.89,1.053,-0.0203,-0.035,-0.1261,0.0,,,,-0.184,0.0759
SAN,0.21,16600000000.000002,-0.0472,34520000000.0,0.0,16379999999.999998,-0.09820000000000001,-8876200000000.0,0.017,0.0007000000000000001,-0.1477,62150000000.0,-0.17800000000000002,-0.025099999999999997,-0.0776,-0.005,-0.4975,-0.08,-0.5121,-0.035,0.059000000000000004,-0.5429999999999999,,0.0632,-0.606,0.414,-4.369,-0.14300000000000002,,-0.0764,-0.11470000000000001,-0.295,-0.0335,0.23809999999999998,0.0637,8090000000.0,0.008,0.055
ARR,0.01,63740000000.0,0.003,634640000000.0,0.0263,63480000000.0,0.0292,-319400000000.0,0.5870000000000001,0.0458,0.09789999999999999,-270470000000.00003,-0.573,0.0632,0.26539999999999997,-0.034,-0.4211,-0.287,-0.44770000000000004,-0.01,,-0.5333,,0.9939,,,1.244,,,0.0108,0.0288,-0.1993,-0.009000000000000001,0.006999999999999999,-0.0302,1000000000.0,,0.1216
