,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,open,beta,regularMarketDayLow,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,forwardPE,fiftyTwoWeekLow,bid,dayHigh,enterpriseToRevenue,profitMargins,enterpriseToEbitda,52WeekChange,forwardEps,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,shortRatio,shortPercentOfFloat,regularMarketPrice,trailingAnnualDividendYield,payoutRatio,trailingAnnualDividendRate,dividendRate,trailingPE,fiveYearAvgDividendYield,dividendYield,pegRatio,Market Cap,Change,Insider Own,Shs Outstand,Perf Week,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,Inst Own,Short Float,Perf Quarter,Sales,EPS this Y,Inst Trans,Perf Half Y,ROA,Perf Year,ROE,Perf YTD,EPS past 5Y,ROI,52W High,Gross Margin,52W Low,Sales Q/Q,EPS Q/Q,Avg Volume,SMA20,SMA50,SMA200,Sales past 5Y,Oper. Margin,Profit Margin,EPS next 5Y,Dividend %,Payout
RENN,2.27,2.27,2.3148572,2.98,2.27,2.184,2.27,2.180602,2.31,0.18673304,2.31,2.77,5.5,-3.7945204,0.45,2.74,2.98,0.257,-0.846,-0.10980481,-0.73,4.436,0.0018000001,0.14276,-2.25,0.121969104,0.50069,0.98,,2.27,-0.14607,,0.62443644,,51960000000.0,0.2115,0.5007,23310000000.0,0.40990000000000004,,0.0,4200000000.0,-0.092,-51100000000.0,0.136,0.01,-0.4296,349800000000.0,0.665,0.015300000000000001,3.1273,-0.139,-0.0993,-0.348,-0.08839999999999999,-0.20800000000000002,-1.426,-0.5,0.496,0.008,5.1111,1.995,0.446,,0.495,0.0848,0.2325,,-0.551,-0.146
REXN,1.95,,2.2955713,2.35,1.95,2.3005714,,0.97826,,8.810463,,2.29,4.26,-0.8793774,1.26,2.26,2.35,-1.152,0.185,-0.099547505,-2.57,2.925,0.0004,0.11469,-2.658,0.121969104,0.00306,0.06,0.0004,,,,0.7726496,,8920000000.0,0.1558,0.0031,4430000000.0,0.0699,,0.0,4219999999.9999995,-0.2134,-6900000000.0,0.073,0.0004,-0.4314,1200000000.0,0.584,0.0864,0.5191,-0.557,-0.1076,-0.726,0.04190000000000001,0.29600000000000004,,-0.46009999999999995,,,0.8216,,-0.019,,0.08810000000000001,-0.0608,0.0134,,,
SAVA,7.09,8.75,4.1424284,10.45,7.09,3.634,8.75,2.871794,8.4,,8.4,9.97,10.95,-30.182425,1.05,9.98,10.45,,-11.418,4.957983,-0.33,0.97,0.12109999,0.21159,-0.213,0.121969104,0.104720004,1.94,0.13069999,8.75,,-0.34,10.268248,,166970000000.0,0.40759999999999996,0.1047,24780000000.0,1.258,-0.259,0.1007,22320000000.0,1.0731,-4500000000.0,0.252,0.1352,1.6958000000000002,,0.5670000000000001,-0.0002,0.6761,-0.193,4.5827,-0.203,0.3635,0.326,,-0.0886,,,8.5048,,0.257,4750000000.0,1.5238999999999998,1.8022,1.1159000000000001,,,
SESN,1.13,1.15,0.77377856,1.3,1.13,1.0331714,1.15,1.366778,1.14,,1.14,1.29,1.54,-4.3965516,0.37,1.28,1.3,,-2.058,-0.008771896,-0.29,-0.023,0.0112,0.19281,-0.318,0.121969104,0.00067000004,0.74,0.0112,1.15,,,,,133680000000.0,0.15039999999999998,0.0007000000000000001,112570000000.0,0.1188,-11.5,0.0,106340000000.0,0.036699999999999997,-31900000000.0,0.18899999999999997,0.0123,0.5316,,-1.168,0.08529999999999999,1.4972,-0.29100000000000004,0.0273,,0.08650000000000001,0.13,,-0.1558,,,2.5135,,0.65,1450000000.0,0.2695,0.34049999999999997,0.564,,,
SOL,2.06,1.99,1.2941428,2.75,2.06,1.7865714,1.99,1.67447,2.01,0.88191164,2.01,2.58,2.98,32.0625,0.85,2.57,2.75,1.529,13.166,0.09574461,0.08,1.948,0.00059999997,0.31219,-0.217,0.121969104,,0.07,,1.99,-0.070700005,,1.3167351,-0.398,101660000000.0,0.25730000000000003,,49350000000.0,0.3038,,,10980000000.0,0.1805,-7900000000.0,0.312,0.0024,0.7311,127200000000.0,0.8640000000000001,0.0002,1.0395999999999999,-0.032,0.5969,-0.106,0.4558,-0.057,-0.011000000000000001,-0.1309,-0.402,0.27699999999999997,2.0356,0.9259999999999999,-0.39799999999999996,,0.3711,0.5542,0.94,0.15,,-0.078
STON,1.04,1.04,0.7827857,1.25,1.04,0.79914284,1.04,0.385172,1.04,0.49388054,1.04,1.25,1.68,-1.9666665,0.46,1.22,1.25,1.359,-26.586,-0.25179857,-0.6,-0.677,0.0005,0.69818,-1.326,0.121969104,0.12893,0.43,0.0011999999,1.04,-0.31941998,,,,117930000000.0,0.1875,0.011000000000000001,94470000000.0,0.4754,,-0.43670000000000003,32909999999.999996,0.311,,0.765,0.0018,0.061500000000000006,289600000000.0,0.07200000000000001,0.3811,-0.1186,,-0.2877,,-0.2828,-0.17300000000000001,-0.132,-0.2631,0.051,0.762,1.6877000000000002,-0.004,,,0.5307,0.5891,0.35710000000000003,0.13,-0.23199999999999998,
WPRT,1.62,2.05,1.3326428,2.42,1.62,1.7377143,2.05,2.279796,1.99,1.2000893,1.99,2.18,3.39,20.247272,0.7,2.17,2.42,1.044,-34.484,-0.42756182,0.11,0.569,0.022,0.24992001,-0.049,0.121969104,0.13948,2.01,0.0221,2.05,-0.02634,-0.42,3.9142356,,221550000000.0,0.3519,0.13949999999999999,136759999999.99998,0.0385,1.8459999999999999,0.0,117140000000.0,-0.129,,0.24989999999999998,0.025699999999999997,0.25579999999999997,252920000000.0,,,0.9998,,-0.449,,-0.3165,,,-0.354,,,2.1286,-0.564,,1360000000.0,0.2792,0.3276,0.3046,0.3,,
,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,open,beta,regularMarketDayLow,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,forwardPE,fiftyTwoWeekLow,bid,dayHigh,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,forwardEps,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,SandP52WeekChange,heldPercentInsiders,shortRatio,shortPercentOfFloat,regularMarketPrice,priceToBook,profitMargins,pegRatio,Market Cap,Change,Insider Own,Shs Outstand,Perf Week,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,Inst Own,Short Float,Perf Quarter,Sales,EPS this Y,Inst Trans,Perf Half Y,ROA,Perf Year,ROE,Perf YTD,EPS past 5Y,ROI,52W High,Sales past 5Y,Gross Margin,52W Low,Sales Q/Q,EPS Q/Q,Avg Volume,SMA20,SMA50,SMA200,EPS next 5Y
ACRX,1.57,1.63,1.2724638,2.13,1.57,1.2441176,1.63,1.861204,1.55,37.215252,1.55,1.81,2.53,-6.7037034,0.7,1.76,2.13,18.93,-1.729,-0.37450194,-0.27,-0.743,0.091400005,0.24014,-0.622,0.10953009,0.018660001,6.92,0.0925,1.63,,,,142610000000.0,0.15289999999999998,0.011000000000000001,90320000000.0,0.4365,0.35700000000000004,0.0088,88980000000.0,0.2657,-49700000000.0,0.203,0.09269999999999999,0.30219999999999997,4400000000.0,0.16699999999999998,-0.062400000000000004,1.3781,-0.583,-0.276,1.074,-0.1422,0.026000000000000002,3.409,-0.3246,-0.152,-0.513,1.5806,2.222,0.479,1140000000.0,0.4668,0.5034000000000001,0.248,
ACST,0.2163,0.2475,0.5635507,0.2989,0.2163,0.53117645,0.2475,1.244912,0.2349,,0.2349,0.2678,3.08,-0.7971429,0.18,0.267,0.2989,,-0.337,-0.8952381,-0.35,0.119,0.0047,0.06086,-0.244,0.10953009,0.092889994,0.07,0.0047,0.2475,2.344538,,,27030000000.0,0.2899,0.0929,96890000000.0,0.41979999999999995,0.34,0.0,93520000000.0,-0.6555,,0.060899999999999996,0.0048,-0.613,,0.303,,-0.1032,,-0.8678,,-0.8861,,,-0.9094,,,0.5246,,,5180000000.0,-0.2169,-0.5186,-0.6481,
CLSK,11.55,,4.243777,15.06,11.55,10.188824,,2.688963,10.74,27.771885,10.74,14.38,15.06,-29.68,0.97,14.1,15.06,15.736,-21.333,0.19072175,-0.5,1.138,0.1038,0.01334,-4.444,0.10953009,0.30973,0.41,0.112399995,,13.0404215,-2.7295902,,227940000000.0,0.2848,0.001,17350000000.0,0.4825,0.8059999999999999,0.0,16170000000.000002,0.2346,-28400000000.0,0.008,0.1114,6.169099999999999,10400000000.0,0.541,0.2181,12.0175,-1.254,0.5151,-1.683,1.7738,,-0.7559999999999999,0.061500000000000006,3.465,0.156,14.299000000000001,1.8330000000000002,0.145,5320000000.0,0.4539,0.7529,2.335,
CRDF,8.71,8.9,4.1431775,11.865,8.71,6.5885296,8.9,1.718506,8.8925,1119.9376,8.8925,11.6,11.865,,0.7,11.5,11.865,440.159,-6.899,4.0935674,,,0.0418,0.11395001,,0.10953009,0.00191,1.26,0.0418,8.9,,,,250910000000.0,0.3318,0.003,23230000000.0,0.9529000000000001,0.009000000000000001,0.0409,16210000000.0,0.6739,-19900000000.0,0.289,0.0599,2.4835,300000000.0,0.662,,13.321,-1.188,5.7836,-1.788,8.354800000000001,0.44799999999999995,-2.285,0.037599999999999995,-0.027000000000000003,,15.5478,0.11199999999999999,0.332,1560000000.0,0.6545000000000001,0.9479000000000001,3.0923000000000003,
CRMD,4.61,5.23,4.648116,6.06,4.61,4.477647,5.23,2.648272,4.85,1044.3615,4.85,5.72,8.48,-6.0210524,2.16,5.67,6.06,666.315,-4.657,-0.42590284,-0.95,0.709,0.12,0.24721001,-1.845,0.10953009,0.02115,7.31,0.122200005,5.23,8.0677,,,182530000000.0,0.2408,0.02,31240000000.0,0.2248,-0.105,0.2627,28800000000.0,0.2544,-47000000000.0,0.218,0.13019999999999998,-0.11460000000000001,200000000.0,-0.19699999999999998,0.0196,1.065,-1.6380000000000001,-0.31989999999999996,-2.0340000000000003,-0.2143,0.17800000000000002,-0.6759999999999999,-0.33799999999999997,0.084,-0.10300000000000001,1.6481000000000001,-0.534,-3.951,,0.2516,0.1873,0.0916,
MVIS,1.77,1.72,1.0940579,2.15,1.77,1.6191176,1.72,3.211259,1.72,35.613518,1.72,2.07,3.45,-18.727272,0.15,2.06,2.15,27.202,-13.286,,-0.11,-0.018,0.1345,0.18383,-0.132,0.10953009,0.01582,1.97,0.13520001,1.72,,-2.1224,-1.86,279560000000.0,0.1638,0.016,143860000000.0,0.2262,,0.0,142670000000.0,0.4507,-16700000000.0,0.08800000000000001,0.1356,0.1839,7900000000.0,0.24,-0.41159999999999997,11.146199999999999,-1.5630000000000002,2.431,3.556,1.8611000000000002,0.114,6.617999999999999,-0.4029,0.20600000000000002,0.122,12.4641,-0.5,0.805,10180000000.0,0.32770000000000005,0.1754,1.1541,0.1
ZOM,0.07,0.1045,0.17107971,0.114,0.07,0.12729412,0.1045,-0.273885,0.0951,,0.0951,0.1025,0.499,,0.07,0.101,0.114,,-3.41,-0.8113208,-0.02,0.049,0.0254,0.09671,-0.109,0.10953009,0.38452998,0.49,0.026099999,0.1045,2.0408163,,,79710000000.0,0.4286,0.001,564050000000.0,-0.0967,0.33299999999999996,3.6308,510390000000.0,-0.2636,-13500000000.0,0.064,0.027999999999999997,-0.5351,,-0.045,0.6851,-0.3298,-1.1079999999999999,-0.7425,5.862,-0.6979000000000001,-0.285,,-0.7996,,,0.4286,,-0.11,51130000000.0,-0.11230000000000001,-0.2803,-0.5083,
,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,open,beta,regularMarketDayLow,trailingPE,dayLow,ask,fiftyTwoWeekHigh,fiftyTwoWeekLow,dayHigh,52WeekChange,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,shortRatio,regularMarketPrice,priceToSalesTrailing12Months,forwardPE,enterpriseToRevenue,enterpriseToEbitda,pegRatio,shortPercentOfFloat,bid,profitMargins,forwardEps,trailingAnnualDividendYield,trailingAnnualDividendRate,earningsQuarterlyGrowth,Market Cap,Change,Insider Own,Shs Outstand,Perf Week,Insider Trans,Shs Float,Perf Month,Inst Own,Short Float,Perf Quarter,Perf Half Y,Perf Year,Perf YTD,52W High,52W Low,Sales Q/Q,Avg Volume,SMA20,SMA50,SMA200,EPS next Y,Income,Sales,EPS this Y,Inst Trans,ROA,EPS next 5Y,ROE,EPS past 5Y,ROI,Sales past 5Y,EPS Q/Q,Gross Margin,Oper. Margin,Profit Margin,Payout
ACB,6.32,6.46,10.565595,7.56,6.32,8.947715,6.46,1.331651,6.27,33.88889,6.27,6.2,59.04,5.3,7.56,-0.8718487,3.439,0.1751,0.122659996,0.216,0.11079204,2.1285257,0.028989999,5.53,6.46,,,,,,,,,,,,,824010000000.0,0.1582,0.028999999999999998,112570000000.0,0.0354,0.0,109410000000.0,-0.22210000000000002,0.12269999999999999,0.1801,-0.461,-0.1492,-0.8798999999999999,-0.7176,-0.8835999999999999,0.3811,0.159,3910000000.0,-0.10679999999999999,-0.24719999999999998,-0.4935,,,,,,,,,,,,,,,,
AIM,2.04,2.36,2.5176811,2.74,2.04,2.3054285,2.36,-0.988851,2.26,,2.26,2.49,7.11,0.38,2.74,2.060241,2.142,0.0688,0.02103,-5.873,0.11079204,1.1858077,0.01998,0.66,2.36,514.35,-2.54,250.243,-4.061,-0.23,0.0695,,,,,,,99420000000.0,0.2451,0.005,39690000000.0,0.2828,0.1335,39250000000.0,0.0583,0.047,0.0695,0.0717,0.27,0.4767,3.6691000000000003,-0.6428,5.6667,0.379,6020000000.0,0.2445,0.0017000000000000001,0.25920000000000004,0.14,-11300000000.0,200000000.0,0.732,2.61,-0.33399999999999996,0.25,-0.42700000000000005,0.44299999999999995,-0.632,-0.066,0.895,,,,
BDR,0.765,0.83,0.7012319,1.26,0.765,0.86742854,0.83,0.379041,0.7548,,0.7548,1.02,3.8,0.38,1.26,0.30985916,0.44,0.0050999997,0.04408,-0.875,0.11079204,2.1136365,0.63402003,0.01,0.83,0.49891558,,0.815,-1.905,,0.0271,0.86,-0.46418,,,,,9540000000.0,0.2157,0.099,9770000000.0,0.1772,0.0,3450000000.0,-0.0591,0.042,0.014499999999999999,0.31920000000000004,0.2568,0.27399999999999997,0.2237,-0.7553,1.4474,-0.29600000000000004,1740000000.0,0.075,0.1294,0.2993,,-8500000000.0,18200000000.0,0.486,-0.06309999999999999,-0.48200000000000004,,-1.204,0.11800000000000001,-0.758,-0.07400000000000001,-0.319,0.11699999999999999,-0.44799999999999995,-0.46399999999999997,
BOXL,1.41,1.63,1.2382609,1.85,1.41,1.7925714,1.63,4.17217,1.57,,1.57,1.7,4.65,0.33,1.85,-0.09523809,0.337,0.0291,0.0502,-0.519,0.106000066,5.074184,0.46762002,0.15,1.63,2.706999,-17.1,2.325,-10.12,,0.0327,,-0.21921,-0.1,,,,86320000000.0,0.21280000000000002,0.006,50120000000.0,0.1793,-0.8959999999999999,44070000000.0,-0.0707,0.094,0.0331,1.0227,3.5,-0.1,0.5405,-0.6323,4.1818,-0.297,17580000000.0,0.0857,-0.177,0.3975,0.583,-6900000000.0,30500000000.0,-0.21600000000000003,,-0.299,,-2.103,-0.504,-1.4180000000000001,,0.264,0.275,-0.233,-0.22699999999999998,
DTEA,0.8669,1.12,0.838,1.15,0.8669,0.966,1.12,,0.9505,,0.9505,0.9995,2.12,0.315,1.15,-0.4521277,2.326,0.0055,0.02866,-1.058,0.106000066,0.44282028,0.46129,1.32,1.12,,-34.333332,,,,0.0101,0.98,-0.35478002,-0.03,,,,28280000000.0,0.1924,0.46130000000000004,26090000000.0,0.03,0.0,14070000000.0,0.045700000000000005,0.04,0.0102,0.03,1.1458,-0.5095000000000001,-0.2945,-0.5381,2.2698,-0.273,,0.0508,0.1149,-0.0016,,-55700000000.0,140100000000.0,0.085,0.5956,,,,-0.381,-0.222,0.067,,0.525,,,
GME,8.75,10.45,4.851884,11.1699,8.75,6.1480002,10.45,1.3835,9.9,,9.9,10.6,11.17,2.57,11.1699,1.0307693,5.403,0.8874,1.5262101,-4.902,0.11079204,1.9544699,0.11168,10.68,10.45,0.12297279,-81.230774,0.179,-16.392,0.09,2.5444,10.52,-0.060650002,-0.13,,,,668550000000.0,0.2069,0.075,65000000000.0,0.4894,-0.001,48880000000.0,1.0994,0.95,,1.1863,1.5385,1.1036,0.7368000000000001,0.0809,3.1088999999999998,-0.267,6280000000.0,0.5023,0.958,1.1947,0.938,-334400000000.0,5600000000.0,0.337,-0.11130000000000001,-0.126,,-0.6729999999999999,-0.287,-0.424,-0.07,0.5870000000000001,0.281,-0.028999999999999998,-0.061,
JE,0.305,0.299,14.098623,0.41,0.305,9.106,0.299,1.491279,0.29,0.21863636,0.29,0.3999,93.72,0.24,0.41,-0.99380904,-0.052,0.0364,0.22539,1.76,0.11079204,,0.42976,0.48,0.299,,0.74,,,,,,0.01658,0.52,1.2327868,0.376,,58350000000.0,0.2616,0.42979999999999996,151640000000.0,-0.9515,0.0,107640000000.0,-0.9598,0.2254,0.0509,-0.9797,-0.9706,-0.9926999999999999,-0.9931,-0.9959,0.6033,-0.115,2280000000.0,-0.9534,-0.9636,-0.9845999999999999,-0.536,,,-0.41100000000000003,,,,,,,,,,,,
NAOV,0.5898,1.09,1.7956086,1.48,0.5898,0.93831426,1.09,-0.328316,1.07,,1.07,1.05,3.5,0.535,1.48,-0.5789473,-0.103,0.0062,0.36171,-0.615,0.11079204,,0.11192001,0.24,1.09,20.007425,-1.4814816,17.625,-2.285,,0.0062,,,-0.81,,,,11400000000.0,1.0346,0.1119,9520000000.0,0.9640000000000001,0.0,4890000000.0,0.2352,0.152,0.0121,-0.4175,-0.4667,-0.6117,-0.5789,-0.6570999999999999,1.2426000000000001,0.0,3810000000.0,0.8506999999999999,0.050499999999999996,-0.4434,,-4400000000.0,600000000.0,-0.261,0.0241,-2.436,,-5.38,0.396,-4.171,0.212,-0.28,0.193,,,
PLL,,8.79,6.4277534,11.6993,,6.9805713,8.79,1.217469,8.55,,8.55,,11.7,,11.6993,0.6923077,1.6,0.0004,0.00095,-0.9,0.106000066,6.875,,0.17,8.79,11692.487,-18.032787,7782.777,-10.486,,,,,-0.61,,,,127080000000.0,0.32530000000000003,,11550000000.0,0.6667000000000001,,7610000000.0,0.682,0.001,0.0006,0.8003,1.3656,0.5172,0.3317,-0.059800000000000006,1.75,,,0.6476999999999999,0.636,0.5771999999999999,,,10000000.0,,,,,,,,,,,,,
PSV,0.3554,0.36,0.6327391,0.5473,0.3554,0.5348857,0.36,,0.3458,,0.3458,,3.05,0.28,0.5473,-0.63076925,2.721,0.0296,0.16268998,-19.927,0.11079204,0.17640573,0.73192,0.07,0.36,0.31248823,,3.038,-87.937,,0.1834,,-0.38939998,0.08,,,,14400000000.0,0.3506,0.7319,27340000000.0,0.6282,0.0,26810000000.0,0.15380000000000002,0.16399999999999998,0.0347,-0.3259,0.3714,-0.6308,-0.5282,-0.8426,0.7143,1.37,11000000000.0,-0.0005,-0.2817,-0.371,,-18700000000.0,48100000000.0,0.97,0.018799999999999997,-0.09300000000000001,,-0.366,-0.179,-0.051,-0.046,0.7440000000000001,,-0.188,-0.389,
RENN,3.07,3.03,2.373768,3.87,3.07,2.2285714,3.03,2.180602,3.025,,3.025,3.97,5.5,0.45,3.87,0.57613003,4.436,0.0018000001,0.14276,-2.25,0.11079204,0.86339045,0.50069,0.98,3.03,0.25819045,-5.246575,0.404,-1.326,,,3.75,-0.14607,-0.73,,,,69940000000.0,0.24760000000000001,0.5007,23310000000.0,1.3072,0.0,4200000000.0,0.7814,0.136,0.01,-0.0279,2.7549,0.5108,0.5382,-0.3036,7.5111,1.995,,0.9943000000000001,0.5276,0.7145,,-51100000000.0,349800000000.0,0.665,0.019299999999999998,-0.139,,-0.348,-0.20800000000000002,-1.426,0.496,0.446,0.008,-0.551,-0.146,
RMTI,1.41,1.64,1.9447826,1.89,1.41,1.4654286,1.64,1.294314,1.64,,1.64,,3.85,1.1,1.89,-0.46153843,0.231,0.090299994,0.41265,-0.453,0.106000066,7.272727,0.16834,12.18,1.64,1.8850782,-7.3043475,1.619,-3.599,-0.08,0.1099,,-0.47939,-0.23,,,,114910000000.0,0.19149999999999998,0.019,69430000000.0,0.377,0.0208,61050000000.0,0.056600000000000004,0.415,0.10400000000000001,-0.16,-0.3143,-0.5073,-0.3115,-0.5636,0.5273,0.07400000000000001,1190000000.0,0.2829,0.057699999999999994,-0.2192,0.439,-30000000000.0,62700000000.0,0.079,0.008,-0.552,0.38,-1.465,-0.017,,0.025,0.43799999999999994,0.049,-0.462,-0.479,
RVP,6.86,6.91,5.6766667,8.02,6.86,7.3934283,6.91,1.743589,6.8504,43.6612,6.8504,9.56,13.65,0.97,8.02,6.3302746,0.977,0.06,0.104890004,0.183,0.11079204,8.178096,0.72786003,2.83,6.91,5.610966,,5.418,49.953,,0.1438,6.86,0.14825,,,,8.614,225000000000.0,0.16469999999999999,0.44799999999999995,32790000000.0,0.38,-0.0015,12050000000.0,0.0583,0.21100000000000002,0.1646,0.2583,5.9478,6.910900000000001,4.3267,-0.4147,7.3229,0.20800000000000002,,0.2949,-0.0332,0.8292,,6300000000.0,47000000000.0,2.1959999999999997,0.8139,0.154,,0.22,0.213,0.09699999999999999,0.039,8.613999999999999,0.33799999999999997,0.09,0.133,0.0
,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,open,beta,regularMarketDayLow,dayLow,ask,fiftyTwoWeekHigh,forwardPE,fiftyTwoWeekLow,bid,dayHigh,52WeekChange,forwardEps,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,SandP52WeekChange,shortRatio,regularMarketPrice,priceToSalesTrailing12Months,enterpriseToRevenue,profitMargins,enterpriseToEbitda,priceToBook,heldPercentInsiders,pegRatio,shortPercentOfFloat,Market Cap,Change,Shs Outstand,Perf Week,EPS next Y,Shs Float,Perf Month,Income,Inst Own,Short Float,Perf Quarter,EPS this Y,Inst Trans,Perf Half Y,ROA,Perf Year,Perf YTD,ROI,52W High,52W Low,EPS Q/Q,SMA20,SMA50,SMA200,Insider Own,Insider Trans,Sales,EPS next 5Y,EPS past 5Y,Sales past 5Y,Gross Margin,Sales Q/Q,Profit Margin,Avg Volume,ROE,Oper. Margin
ASLN,1.65,1.64,1.6194276,1.92,1.65,1.5624571,1.64,1.546657,1.62,1.62,1.92,8.18,-2.7428572,0.35,1.51,1.92,-0.10806447,-0.7,-0.23,0.0037,0.08682,-1.24,0.11079204,3.03,1.64,,,,,,,,,72400000000.0,0.15710000000000002,37990000000.0,0.27149999999999996,-0.25,36900000000.0,0.1925,-43900000000.0,0.092,0.0039000000000000003,-0.0943,-0.052000000000000005,0.0203,0.6409999999999999,-1.902,0.0492,-0.0542,-2.832,-0.7653,4.4857,0.597,0.2772,0.1845,0.0698,,,,,,,,,,,,
DGLY,1.91,1.92,2.0669565,2.95,1.91,2.32,1.92,0.595317,1.8,1.8,2.67,7.1,-8.8125,0.64,2.66,2.95,0.503937,-0.32,0.502,0.121400006,0.03986,-0.654,0.11079204,1.58,1.92,7.889275,4.269,-0.97297996,-4.377,5.61753,0.25148,-0.28,0.1336,76060000000.0,0.4764,26580000000.0,0.41,0.111,22970000000.0,0.3429,-9200000000.0,0.079,0.1405,-0.1557,0.547,2.4219999999999997,2.5237,-0.675,1.1692,1.7647,-3.016,-0.6028,3.4059,0.235,0.3503,0.0824,0.5941,0.08199999999999999,-0.047400000000000005,9500000000.0,0.2,0.244,-0.098,0.29,-0.32,-0.973,3080000000.0,,
MRNS,12.56,12.1,2.1392753,13.08,12.56,2.1255715,12.1,1.988851,11.67,11.67,,13.08,-21.836363,1.01,11.84,13.08,1.291971,-0.55,0.756,0.12109999,0.70287,-0.968,0.11079204,7.34,12.1,,,,-23.064,15.886244,0.00625,-0.23,0.121400006,1360000000.0,2.8248,99770000000.0,2.7767,0.225,82920000000.0,5.287999999999999,-72400000000.0,0.778,0.17850000000000002,3.5664999999999996,-0.106,0.4523,4.8873,-0.846,8.4567,4.5602,,1.9509,10.8911,0.336,4.2246,4.9382,4.5723,0.0063,0.0,,0.2,0.145,,,,,4820000000.0,-1.265,
POAI,0.8457,1.06,1.470529,1.15,0.8457,1.1486857,1.06,1.569119,0.9158,0.9158,0.91,6.25,,0.81,0.883,1.15,-0.8308,,0.886,0.0184,0.090500005,-4.792,0.11079204,0.31,1.06,11.287453,11.435,,-1.387,1.113544,0.32683,,0.0186,15720000000.0,0.1666,15420000000.0,0.1023,,13420000000.0,-0.1421,-25900000000.0,0.071,0.0209,-0.45189999999999997,0.129,2.0484,-0.3594,-0.971,-0.7990999999999999,-0.622,-1.452,-0.8421,0.218,-2.512,0.0483,-0.23399999999999999,-0.46049999999999996,0.11599999999999999,0.0038,1300000000.0,,0.5870000000000001,0.08199999999999999,0.616,-0.33299999999999996,,,-1.926,
SPI,1.03,3.54,1.0418406,46.67,1.03,1.3072286,3.54,3.95693,3.3,3.3,20.5,46.67,,0.55,20.05,46.67,-0.7005714,,-0.56,0.00090000004,4.0000003e-05,-1.2,0.11079204,0.05,3.54,2.1221764,0.951,-0.15588,-7.615,,0.53330004,,0.0017,206360000000.0,12.3652,14660000000.0,10.6667,,7200000000.0,9.219,-15300000000.0,0.01,0.002,11.2807,-0.41100000000000003,,16.8072,-0.07,3.1667,6.5269,-0.159,2.5,24.4545,0.871,11.3118,9.572899999999999,10.243599999999999,0.5333,0.0,97900000000.0,,-0.077,0.013000000000000001,0.073,-0.603,-0.156,,0.506,-0.196
SUNW,0.7714,0.7777,0.65769565,4.57,0.7714,0.82865715,0.7777,2.960981,0.7325,0.7325,1.41,4.57,-9.666667,0.29,1.41,4.57,-0.69764704,-0.12,0.487,0.0293,0.03635,-1.346,0.11079204,0.13,0.7777,0.35762617,0.208,-0.23696,-1.47,2.38193,0.017180001,-0.1,0.0295,17960000000.0,0.5038,16629999999.999998,0.491,0.85,16540000000.0,0.6690999999999999,-12800000000.0,0.02,0.029500000000000002,0.9349,-0.282,0.40979999999999994,2.1956,-0.447,-0.5378000000000001,-0.07200000000000001,-0.6829999999999999,-0.7171,3.0,-3.359,0.6162,0.2569,0.5113,0.0172,0.0,53900000000.0,0.1,0.32799999999999996,0.243,0.11699999999999999,-0.48100000000000004,-0.237,4830000000.0,-1.4880000000000002,-0.221
,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,open,beta,regularMarketDayLow,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,fiftyTwoWeekLow,bid,dayHigh,enterpriseToRevenue,profitMargins,enterpriseToEbitda,52WeekChange,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,shortRatio,shortPercentOfFloat,regularMarketPrice,forwardPE,forwardEps,trailingPE,earningsQuarterlyGrowth,trailingAnnualDividendYield,trailingAnnualDividendRate,pegRatio,Market Cap,Change,Insider Own,Shs Outstand,Perf Week,Insider Trans,Shs Float,Perf Month,Income,Inst Own,Short Float,Perf Quarter,Sales,EPS this Y,Inst Trans,Perf Half Y,Perf Year,Perf YTD,ROI,52W High,Gross Margin,52W Low,Sales Q/Q,Avg Volume,SMA20,SMA50,SMA200,ROA,ROE,EPS past 5Y,Sales past 5Y,Oper. Margin,EPS Q/Q,Profit Margin,EPS next 5Y,EPS next Y
